Toivakka A-Ö TO 15. Elokuu 09.00 | Seurakuntakoti, Salomonintie 8, Toivakka
Jyväskylä Kol-Kum TO 31. | Lokakuu | 12.00 | Kristilinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Kun-Laa PE 1. Marraskuu | 09.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Lab-Lei PE 1 Marraskuu | 12.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Lej-Lou MA 4. Marraskuu | 09.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Lov-Moh MA 4. | Marraskuu | 12.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Moi-Nev TI 5. Marraskuu | 09.00 | Kristilinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä New-Ouw TI 5. Marraskuu | 12.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Oux-Pek KE 6. Marraskuu | 09.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Pel-Por KE 6. Marraskuu | 12.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Pos-Ras TO 7. Marraskuu | 09.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Rat-Sai TO 7. | Marraskuu | 12.00 | Kristilinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Saj-Sau PE 8. | Marraskuu | 09.00 | Kristilinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Sav-Suo PE 8. Marraskuu | 12.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Sup-Tii MA 11. | Marraskuu | 09.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä 
Jyväskylä Tij-Ver MA | 11. | Marraskuu | 12.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Ves-Väi TI 12. | Marraskuu | 09.00 | Kristillinen opisto, Sulkulantie 28, Jyväskylä
Jyväskylä Väj-Ö Ti 12  Marraskuu | 12.00 | Kristilinen opisto, Sulkulantie 28, Jyväskylä
